Season,Date,PlotID,Block,Treatment,canopy_temp,DAP
2024,2024-06-06,1,1,HTI,23.493,24
2024,2024-06-06,2,1,AC,25.378,24
2024,2024-06-06,3,1,HE,24.434,24
2024,2024-06-06,4,2,AC,24.27,24
2024,2024-06-06,5,2,HTI,20.918,24
2024,2024-06-06,6,2,HE,22.006,24
2024,2024-06-06,7,3,HE,24.376,24
2024,2024-06-06,8,3,HTI,23.232,24
2024,2024-06-06,9,3,AC,24.091,24
2024,2024-06-06,10,4,AC,22.425,24
2024,2024-06-06,11,4,HE,23.951,24
2024,2024-06-06,12,4,HTI,20.673,24
2024,2024-06-27,1,1,HTI,28.268,45
2024,2024-06-27,2,1,AC,28.733,45
2024,2024-06-27,3,1,HE,29.985,45
2024,2024-06-27,4,2,AC,27.833,45
2024,2024-06-27,5,2,HTI,30.563,45
2024,2024-06-27,6,2,HE,28.357,45
2024,2024-06-27,7,3,HE,28.878,45
2024,2024-06-27,8,3,HTI,32.266,45
2024,2024-06-27,9,3,AC,28.965,45
2024,2024-06-27,10,4,AC,29.024,45
2024,2024-06-27,11,4,HE,30.016,45
2024,2024-06-27,12,4,HTI,29.4,45
2024,2024-07-04,1,1,HTI,22.499,52
2024,2024-07-04,2,1,AC,20.982,52
2024,2024-07-04,3,1,HE,21.531,52
2024,2024-07-04,4,2,AC,22.393,52
2024,2024-07-04,5,2,HTI,21.157,52
2024,2024-07-04,6,2,HE,22.637,52
2024,2024-07-04,7,3,HE,22.814,52
2024,2024-07-04,8,3,HTI,21.423,52
2024,2024-07-04,9,3,AC,23.121,52
2024,2024-07-04,10,4,AC,21.796,52
2024,2024-07-04,11,4,HE,22.11,52
2024,2024-07-04,12,4,HTI,22.747,52
2024,2024-07-15,1,1,HTI,20.818,63
2024,2024-07-15,2,1,AC,19.656,63
2024,2024-07-15,3,1,HE,19.203,63
2024,2024-07-15,4,2,AC,20.241,63
2024,2024-07-15,5,2,HTI,20.486,63
2024,2024-07-15,6,2,HE,18.904,63
2024,2024-07-15,7,3,HE,20.439,63
2024,2024-07-15,8,3,HTI,19.933,63
2024,2024-07-15,9,3,AC,20.499,63
2024,2024-07-15,10,4,AC,20.912,63
2024,2024-07-15,11,4,HE,21.851,63
2024,2024-07-15,12,4,HTI,21.851,63
2024,2024-07-19,1,1,HTI,,67
2024,2024-07-19,2,1,AC,,67
2024,2024-07-19,3,1,HE,,67
2024,2024-07-19,4,2,AC,,67
2024,2024-07-19,5,2,HTI,,67
2024,2024-07-19,6,2,HE,,67
2024,2024-07-19,7,3,HE,,67
2024,2024-07-19,8,3,HTI,,67
2024,2024-07-19,9,3,AC,,67
2024,2024-07-19,10,4,AC,,67
2024,2024-07-19,11,4,HE,,67
2024,2024-07-19,12,4,HTI,,67
2024,2024-07-25,1,1,HTI,20.241,73
