Season,Date,DAP,Rain,Tmax,Tmin,Tmean,cum_GDD,IRRAD,Cumulative_Radiation
2024,2024-05-14,1,0,27.551,14.478,20.7769527777778,18.7769527777778,23.56079802,23.56079802
2024,2024-05-15,2,14.91,22.255,13.38,16.7939340277777,33.5708868055555,14.37820242,37.93900044
2024,2024-05-16,3,0.07,20.872,12.889,16.7093444444444,48.28023125,15.50116182,53.44016226
2024,2024-05-17,4,4.81,20.439,12.323,15.8411111111111,62.1213423611111,10.55375256,63.99391482
2024,2024-05-18,5,4.87,23.562,12.849,16.4333243055556,76.5546666666666,15.98846958,79.9823844
2024,2024-05-19,6,1.02,22.381,12.337,15.98673125,90.5413979166666,15.47581986,95.45820426
2024,2024-05-20,7,0.03,22.056,12.288,16.0814784722222,104.622876388889,19.70979234,115.1679966
2024,2024-05-21,8,27.59,24.616,11.714,17.3548555555555,119.977731944444,17.79900042,132.96699702
2024,2024-05-22,9,2.14,19.149,11.901,15.3983041666666,133.376036111111,12.57563856,145.54263558
2024,2024-05-23,10,0,20.082,11.313,15.35785625,146.733892361111,16.92857958,162.47121516
2024,2024-05-24,11,6.20999999999999,17.342,9.71,14.3208888888889,159.05478125,6.72613344,169.1973486
2024,2024-05-25,12,5.16,17.717,10.203,14.9633652777778,172.018146527778,11.01025116,180.20759976
2024,2024-05-26,13,1.8,22.343,9.509,15.6085645833333,185.626711111111,15.76977612,195.97737588
2024,2024-05-27,14,2.82,18.164,11.699,14.4101708333334,198.036881944444,15.5624733,211.53984918
2024,2024-05-28,15,10.5,19.344,9.32,14.0622375,210.099119444444,20.6664561,232.20630528
2024,2024-05-29,16,8.91999999999998,18.52,9.846,15.1802972222222,223.279416666667,16.46287476,248.66918004
2024,2024-05-30,17,0,19.067,9.833,14.7175694444444,235.996986111111,16.92694092,265.59612096
2024,2024-05-31,18,0.64,20.317,12.809,15.53043125,249.527417361111,16.60403256,282.20015352
2024,2024-06-01,19,0.85,18.177,13.76,15.7535104166667,263.280927777778,7.33725768,289.5374112
2024,2024-06-02,20,0,17.265,12.161,14.3898493055556,275.670777083333,18.38836302,307.92577422
2024,2024-06-03,21,0,17.619,11.59,14.4722888888889,288.143065972222,12.47132166,320.39709588
2024,2024-06-04,22,1.45,21.452,13.826,16.7514770833333,302.894543055555,13.89120834,334.28830422
2024,2024-06-05,23,1.47,17.248,6.872,12.8792013888889,313.773744444444,25.24386528,359.5321695
2024,2024-06-06,24,0,17.82,6.07,12.4044013888889,324.178145833333,17.78802894,377.32019844
2024,2024-06-07,25,0,19.839,4.799,13.6244958333333,335.802641666667,26.52727452,403.84747296
2024,2024-06-08,26,0.07,18.997,7.356,13.3932083333333,347.19585,21.16962726,425.01710022
2024,2024-06-09,27,0,17.711,6.597,13.0032895833333,358.199139583333,24.02617626,449.04327648
2024,2024-06-10,28,10.09,15.125,8.865,11.2606027777778,367.459742361111,9.45608178,458.49935826
2024,2024-06-11,29,0.99,16.7,8,11.7336631944445,377.193405555555,21.79157478,480.29093304
2024,2024-06-12,30,0.43,15.618,8.624,11.5701854166667,386.763590972222,16.32850086,496.6194339
2024,2024-06-13,31,0,19.017,9.238,14.2752569444444,399.038847916667,20.84465556,517.46408946
2024,2024-06-14,32,10.93,18.06,12.155,14.8470708333333,411.88591875,8.3269449,525.79103436
2024,2024-06-15,33,0.16,18.384,11.702,14.5971777777778,424.483096527778,13.87207272,539.66310708
2024,2024-06-16,34,3.94,18.028,12.266,14.6700222222222,437.15311875,15.96796818,555.63107526
2024,2024-06-17,35,0,20.909,12.326,16.3073416666667,451.460460416667,22.36569978,577.99677504
2024,2024-06-18,36,10.8099999999999,16.995,11.656,14.8944076388889,464.354868055555,5.52466668,583.52144172
2024,2024-06-19,37,0.03,20.822,10.686,15.8153159722222,478.170184027778,26.67098436,610.19242608
2024,2024-06-20,38,0.51,21.839,9.796,16.4348895833334,492.605073611111,15.52124466,625.71367074
2024,2024-06-21,39,4.51999999999999,19.28,12.052,16.0928715277778,506.697945138889,6.36159018,632.07526092
2024,2024-06-22,40,2.75,20.57,11.653,15.9025138888889,520.600459027778,15.31983318,647.3950941
2024,2024-06-23,41,0,24.017,10.183,17.8433944444444,536.443853472222,22.7370531,670.1321472
2024,2024-06-24,42,0,26.934,11.377,20.1397284722222,554.583581944444,30.26154786,700.39369506
2024,2024-06-25,43,0,28.797,15.424,22.8136131944444,575.397195138889,29.82000582,730.21370088
2024,2024-06-26,44,0,30.126,16.302,23.8874666666666,597.284661805555,30.00128166,760.21498254
