Season,Date,Block,DAP,Treatment,PlotID,tuber_dmc
2024,2024-09-08,1,118,HTI,1,0.195598173515982
2024,2024-09-08,1,118,AC,2,0.220452830188679
2024,2024-09-08,1,118,HE,3,0.228405797101449
2024,2024-09-08,2,118,AC,4,0.203473170731707
2024,2024-09-08,2,118,HTI,5,0.212199134199134
2024,2024-09-08,2,118,HE,6,0.214452173913043
2024,2024-09-08,3,118,HE,7,0.201122641509434
2024,2024-09-08,3,118,HTI,8,0.201980295566502
2024,2024-09-08,3,118,AC,9,0.217057692307692
2024,2024-09-08,4,118,AC,10,0.214492610837438
2024,2024-09-08,4,118,HE,11,0.21282905982906
2024,2024-09-08,4,118,HTI,12,0.215872549019608
2025,2025-08-26,1,111,HB,1,0.195429239579596
2025,2025-08-26,1,111,AC,2,0.2162750452248
2025,2025-08-26,1,111,HTI,3,0.207021894838148
2025,2025-08-26,2,111,AC,4,0.206083636722436
2025,2025-08-26,2,111,HB,5,0.203206296735243
2025,2025-08-26,2,111,HTI,6,0.205700120118648
2025,2025-08-26,3,111,HTI,7,0.199668691330756
2025,2025-08-26,3,111,AC,9,0.215999938758169
2025,2025-08-26,4,111,AC,10,0.208451933855778
2025,2025-08-26,4,111,HTI,11,0.207446330728465
2025,2025-08-26,4,111,HB,12,0.205613834389387
