Season,Block,Treatment,PlotID,Date,DAP,Organ,value
2024,1,AC,2,2024-06-24,42,dead_canopy,0
2024,1,HE,3,2024-06-24,42,dead_canopy,0
2024,2,AC,4,2024-06-24,42,dead_canopy,0
2024,2,HE,6,2024-06-24,42,dead_canopy,0
2024,3,HE,7,2024-06-24,42,dead_canopy,0
2024,3,AC,9,2024-06-24,42,dead_canopy,0
2024,4,AC,10,2024-06-24,42,dead_canopy,0
2024,4,HE,11,2024-06-24,42,dead_canopy,0
2024,1,AC,2,2024-07-05,53,dead_canopy,0
2024,1,HE,3,2024-07-05,53,dead_canopy,0
2024,2,AC,4,2024-07-05,53,dead_canopy,0
2024,2,HE,6,2024-07-05,53,dead_canopy,0
2024,3,HE,7,2024-07-05,53,dead_canopy,0
2024,3,AC,9,2024-07-05,53,dead_canopy,0
2024,4,AC,10,2024-07-05,53,dead_canopy,0
2024,4,HE,11,2024-07-05,53,dead_canopy,0
2024,1,HTI,1,2024-07-15,63,dead_canopy,6.34656797294878
2024,1,AC,2,2024-07-15,63,dead_canopy,7.63635361256389
2024,2,AC,4,2024-07-15,63,dead_canopy,3.98952271538978
2024,2,HTI,5,2024-07-15,63,dead_canopy,1.97645457231441
2024,3,HTI,8,2024-07-15,63,dead_canopy,2.9910355725132
2024,3,AC,9,2024-07-15,63,dead_canopy,5.54009064688917
2024,4,AC,10,2024-07-15,63,dead_canopy,7.64573268921095
2024,4,HTI,12,2024-07-15,63,dead_canopy,4.74246273649393
2024,1,HTI,1,2024-07-29,77,dead_canopy,8.16694148323476
2024,1,AC,2,2024-07-29,77,dead_canopy,4.66194015936237
2024,1,HE,3,2024-07-29,77,dead_canopy,4.77478691470015
2024,2,AC,4,2024-07-29,77,dead_canopy,10.6893484594629
2024,2,HTI,5,2024-07-29,77,dead_canopy,12.6175627240143
2024,2,HE,6,2024-07-29,77,dead_canopy,5.00963937731679
2024,3,HE,7,2024-07-29,77,dead_canopy,9.93518149829371
2024,3,HTI,8,2024-07-29,77,dead_canopy,7.26353702499378
2024,3,AC,9,2024-07-29,77,dead_canopy,8.52916273267248
2024,4,AC,10,2024-07-29,77,dead_canopy,3.68539412167037
2024,4,HE,11,2024-07-29,77,dead_canopy,5.75947580350437
2024,4,HTI,12,2024-07-29,77,dead_canopy,3.58481471073357
2024,1,HTI,1,2024-08-19,98,dead_canopy,183.598473055177
2024,1,AC,2,2024-08-19,98,dead_canopy,113.915429748048
2024,1,HE,3,2024-08-19,98,dead_canopy,99.3111606240653
2024,2,AC,4,2024-08-19,98,dead_canopy,97.8516122533587
2024,2,HTI,5,2024-08-19,98,dead_canopy,85.8602342212678
2024,2,HE,6,2024-08-19,98,dead_canopy,46.2374707091719
2024,3,HE,7,2024-08-19,98,dead_canopy,119.842978963277
2024,3,HTI,8,2024-08-19,98,dead_canopy,31.9539619507384
2024,3,AC,9,2024-08-19,98,dead_canopy,45.1940217534434
2024,4,AC,10,2024-08-19,98,dead_canopy,69.3404089588521
2024,4,HE,11,2024-08-19,98,dead_canopy,108.720118665566
2024,4,HTI,12,2024-08-19,98,dead_canopy,73.6993538889343
2024,1,HTI,1,2024-09-08,118,dead_canopy,223.037895621221
