Date,Time,hour
2025-06-10,11:15,11
2025-06-18,11:00,11
2025-06-03,11:15,11
2025-07-02,9:40,9
2025-07-11,10:00,10
2025-07-30,15:30,15
2025-08-07,10:25,10
2025-07-18,15:30,15
2025-07-23,13:30,13
2025-08-07,10:30,10
2025-08-13,10:00,10
2024-06-14,12:30,12
2024-06-21,10:52,10
2024-06-27,14:00,14
2024-07-04,10:50,10
2024-07-15,10:50,10
2024-07-19,13:50,13
2024-07-25,11:10,11
2024-08-01,11:30,11
2024-08-08,11:10,11
2024-08-20,11:10,11
2024-06-06,11:00,11
2024-06-18,11:00,11
2024-06-27,14:10,14
2024-08-30,11:15,11
