Season,Date,DAP,Treatment,Depth,Block,PlotID,mean_temp,max_temp,min_temp
2024,2024-06-06,24,AC,20,1,2,17.084717933792,19.6999957978723,13.8999911487097
2024,2024-06-06,24,AC,20,2,4,16.6833293354757,18.8999965131281,13.8999911487097
2024,2024-06-06,24,AC,20,3,9,16.7114540712906,19.1999962449072,13.6999913275237
2024,2024-06-06,24,AC,20,4,10,16.1604123167691,18.499996870756,13.2999916851516
2024,2024-06-06,24,HE,20,1,3,16.5871489000608,18.599996781349,14.0999909698958
2024,2024-06-06,24,HE,20,2,6,16.9743010926575,19.6999957978723,13.5999914169306
2024,2024-06-06,24,HE,20,3,7,17.121176166232,19.8999956190583,13.7999912381167
2024,2024-06-06,24,HE,20,4,11,16.2510374064865,18.499996870756,13.4999915063376
2024,2024-06-06,24,HTI,20,1,1,16.9118009094974,19.8999956190583,13.2999916851516
2024,2024-06-06,24,HTI,20,2,5,16.4788146049816,19.5999958872793,12.6999922215934
2024,2024-06-06,24,HTI,20,3,8,16.6402733744844,19.1999962449072,13.4999915063376
2024,2024-06-06,24,HTI,20,4,12,16.9454819471676,19.3999960660932,13.8999911487097
2024,2024-06-07,25,AC,20,1,2,17.6756894227528,21.6999940097328,13.5999914169306
2024,2024-06-07,25,AC,20,2,4,17.2746479780514,21.0999945461747,13.4999915063376
2024,2024-06-07,25,AC,20,3,9,17.2194394891872,20.8999947249886,13.1999917745585
2024,2024-06-07,25,AC,20,4,10,16.7236060527875,20.3999951720235,12.7999921321864
2024,2024-06-07,25,HE,20,1,3,17.1864536466074,20.5999949932095,13.7999912381167
2024,2024-06-07,25,HE,20,2,6,17.6142308711795,21.5999940991398,13.1999917745585
2024,2024-06-07,25,HE,20,3,7,17.7586753913716,21.5999940991398,13.3999915957446
2024,2024-06-07,25,HE,20,4,11,17.120480732102,21.1999944567677,13.0999918639655
2024,2024-06-07,25,HTI,20,1,1,17.3392309121578,21.3999942779538,12.8999920427794
2024,2024-06-07,25,HTI,20,2,5,17.3996470808773,22.4999932944771,12.3999924898143
2024,2024-06-07,25,HTI,20,3,8,17.4034669658373,21.8999938309189,13.0999918639655
2024,2024-06-07,25,HTI,20,4,12,17.1222175929279,20.4999950826165,13.4999915063376
2024,2024-06-08,26,AC,20,1,2,17.5374968775857,20.3999951720235,14.6000003576279
2024,2024-06-08,26,AC,20,2,4,17.3156220759574,19.8999956190583,14.6000003576279
2024,2024-06-08,26,AC,20,3,9,17.2003435133851,19.8999956190583,14.1999908804888
2024,2024-06-08,26,AC,20,4,10,16.7302044643087,19.2999961555002,13.8999911487097
2024,2024-06-08,26,HE,20,1,3,20.2395786487805,22.9999928474422,17.4999977648257
2024,2024-06-08,26,HE,20,2,6,20.9135363795481,24.2999916851516,17.6999975860117
2024,2024-06-08,26,HE,20,3,7,20.8836752951349,24.2999916851516,17.5999976754187
2024,2024-06-08,26,HE,20,4,11,20.5854116729147,23.6999922215934,17.6999975860117
2024,2024-06-08,26,HTI,20,1,1,17.0114543152971,19.9999955296514,13.7999912381167
2024,2024-06-08,26,HTI,20,2,5,17.0201345557551,20.4999950826165,13.5999914169306
2024,2024-06-08,26,HTI,20,3,8,17.4489544705175,20.5999949932095,14.2999907910818
2024,2024-06-08,26,HTI,20,4,12,17.2295107686476,19.4999959766862,14.6000003576279
2024,2024-06-09,27,AC,20,1,2,17.2454814057587,20.7999948143956,13.6999913275237
2024,2024-06-09,27,AC,20,2,4,16.9715233856603,20.0999954402444,13.7999912381167
2024,2024-06-09,27,AC,20,3,9,17.0284674718559,20.4999950826165,13.3999915957446
2024,2024-06-09,27,AC,20,4,10,16.4795092195477,19.6999957978723,12.9999919533725
2024,2024-06-09,27,HE,20,1,3,20.7868003817479,23.6999922215934,17.6999975860117
2024,2024-06-09,27,HE,20,2,6,21.8145775821056,25.4999906122679,18.0999972283839
2024,2024-06-09,27,HE,20,3,7,21.7996469033051,25.4999906122679,17.9999973177908
2024,2024-06-09,27,HE,20,4,11,21.1961750157381,24.3999915957446,18.0999972283839
2024,2024-06-09,27,HTI,20,1,1,16.8604115884748,20.6999949038026,12.7999921321864
2024,2024-06-09,27,HTI,20,2,5,16.6843698060137,20.8999947249886,12.3999924898143
2024,2024-06-09,27,HTI,20,3,8,17.0659673700313,20.6999949038026,13.3999915957446
2024,2024-06-09,27,HTI,20,4,12,17.0770789151388,20.0999954402444,13.7999912381167
2024,2024-06-10,28,AC,20,1,2,16.1027755966202,17.8999974071978,13.7999912381167
2024,2024-06-10,28,AC,20,2,4,15.9576370423865,17.6999975860117,13.9999910593028
2024,2024-06-10,28,AC,20,3,9,15.7381919745768,17.4999977648257,13.6999913275237
2024,2024-06-10,28,AC,20,4,10,15.2808987019995,16.7999983906745,13.3999915957446
2024,2024-06-10,28,HE,20,1,3,19.8361067872906,21.6999940097328,17.1999980330466
2024,2024-06-10,28,HE,20,2,6,20.5590228076193,22.5999932050701,17.4999977648257
2024,2024-06-10,28,HE,20,3,7,20.2236064408386,22.4999932944771,17.5999976754187
2024,2024-06-10,28,HE,20,4,11,20.0843704542142,21.9999937415119,17.4999977648257
2024,2024-06-10,28,HTI,20,1,1,15.6076355112922,17.2999979436396,13.1999917745585
2024,2024-06-10,28,HTI,20,2,5,15.3593712296956,17.1999980330466,12.6999922215934
2024,2024-06-10,28,HTI,20,3,8,15.8104142688213,17.5999976754187,13.4999915063376
2024,2024-06-10,28,HTI,20,4,12,16.07117881243,17.8999974071978,14.1999908804888
2024,2024-06-11,29,AC,20,1,2,14.7541615934419,17.4999977648257,12.2999925792213
2024,2024-06-11,29,AC,20,2,4,14.6822864869607,17.1999980330466,12.3999924898143
2024,2024-06-11,29,AC,20,3,9,14.6121477290778,17.2999979436396,11.9999928474422
2024,2024-06-11,29,AC,20,4,10,14.3531200121465,16.9999982118606,11.7999930262561
2024,2024-06-11,29,HE,20,1,3,18.3635386594259,21.1999944567677,15.9999991059303
2024,2024-06-11,29,HE,20,2,6,18.9274270441588,21.7999939203259,16.2999988377094
2024,2024-06-11,29,HE,20,3,7,18.7902743890052,21.4999941885468,16.2999988377094
