PlotID,Block,Treatment,number_of_plants,number_of_tubers,weight_of_tubers,Season
1,1,HTI,14,195,16280,2024
2,1,AC,18,234,21115,2024
3,1,HE,16,179,18255,2024
4,2,AC,14,227,13890,2024
5,2,HTI,16,227,16110,2024
6,2,HE,16,141,17220,2024
7,3,HE,16,236,15500,2024
8,3,HTI,14,137,13770,2024
9,3,AC,16,192,14810,2024
10,4,AC,18,153,14755,2024
11,4,HE,16,149,16970,2024
12,4,HTI,16,185,17700,2024
1,1,HB,12,132,16393.1,2025
2,1,AC,12,137,15354.06,2025
3,1,HTI,12,162,15626.38,2025
4,2,AC,12,130,15706.03,2025
5,2,HB,12,137,13313.42,2025
6,2,HTI,12,157,14660.1,2025
7,3,HTI,12,141,13581.26,2025
8,3,HB,12,138,13104.95,2025
9,3,AC,12,105,13149.33,2025
10,4,AC,12,143,18211.03,2025
11,4,HTI,12,134,14428.2,2025
12,4,HB,12,141,15360.71,2025
