Season,PlotID,Treatment,Block,market_pct,Secondary_pct,undersize_pct
2024,1,HTI,1,13,51,32
2024,2,AC,1,23,50,23
2024,3,HE,1,25,52,19
2024,4,AC,2,2,69,23
2024,5,HTI,2,3,77,20
2024,6,HE,2,27,57,12
2024,7,HE,3,6,60,28
2024,8,HTI,3,17,56,24
2024,9,AC,3,9,62,24
2024,10,AC,4,14,64,19
2024,11,HE,4,7,69,19
2024,12,HTI,4,17,60,18
2025,2,AC,1,62,6,20
2025,1,HB,1,77,2,15
2025,3,HTI,1,14,58,21
2025,4,AC,2,67,7,15
2025,5,HB,2,67,4,26
2025,6,HTI,2,31,29,30
2025,9,AC,3,64,10,18
2025,8,HB,3,61,0,32
2025,7,HTI,3,29,44,18
2025,10,AC,4,75,6,11
2025,12,HB,4,54,12,14
2025,11,HTI,4,30,46,18
