Season,Block,DAP,Treatment,PlotID,tuber_fw_kg_ha
2024,1,118,HTI,1,51682.5396825397
2024,1,118,AC,2,52135.8024691358
2024,1,118,HE,3,50708.3333333333
2024,2,118,AC,4,44095.2380952381
2024,2,118,HTI,5,44750
2024,2,118,HE,6,47833.3333333333
2024,3,118,HE,7,43055.5555555556
2024,3,118,HTI,8,43714.2857142857
2024,3,118,AC,9,41138.8888888889
2024,4,118,AC,10,36432.0987654321
2024,4,118,HE,11,47138.8888888889
2024,4,118,HTI,12,49166.6666666667
2025,1,111,HB,1,60715.1851851852
2025,1,111,AC,2,56866.8888888889
2025,1,111,HTI,3,57875.4814814815
2025,2,111,AC,4,58170.4814814815
2025,2,111,HB,5,49308.962962963
2025,2,111,HTI,6,54296.6666666667
2025,3,111,HTI,7,50300.962962963
2025,3,111,AC,9,48701.2222222222
2025,4,111,AC,10,67448.2592592593
2025,4,111,HTI,11,53437.7777777778
2025,4,111,HB,12,56891.5185185185
